RecordNumber,mbfc__Register_Entry_Type__c,mbfc__Type__c,mbfc__Notation_Type__c,mbfc__Ordination_Type__c,Date,Place,Prelate,mbfc__Matrimonial_Wife__c
528,Notation,,Notice of Holy Orders,Presbyteral,2021-06-26,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
528,Notation,,Notice of Holy Orders,Minor Order: Reader,2017-03-16,,,
528,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2018-03-15,,,
528,Notation,,Notice of Holy Orders,Installation: Candidate,2019-10-23,,,
690,Notation,,Notice of Holy Orders,Presbyteral,2007-04-14,"Basilica of the Sacred Heart, Notre Dame",Most Rev. Daniel Jenky,
691,Notation,,Notice of Holy Orders,Presbyteral,1990-08-24,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. William J. Levada,
1075,Notation,,Notice of Holy Orders,Presbyteral,1999-06-03,,,
3016,Notation,,Proof of Baptism,,1976-11-27,"Immaculate Conception Church, Seattle, WA",,
3016,Notation,,Notice of Holy Orders,Diaconate,2012-10-20,"Mission Santa Clara, Santa Clara, CA",,
3016,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Blessed Sacrament Church, Hollywood, CA",,
3016,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-11-01,,,
3016,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-11-01,,,
564,Notation,,Notice of Holy Orders,Presbyteral,2016-06-04,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
276,Notation,,Proof of Baptism,,1973-11-08,,,
276,Notation,,Notice of Matrimony,,2003-06-29,,,296
276,Notation,,Notice of Holy Orders,Diaconate,2011-10-29,"Cathedral of the Immaculate Conception, Portland, OR",,
276,Notation,,Notice of Holy Orders,Minor Order: Reader,2009-11-02,,,
276,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
276,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
3411,Notation,,Notice of Matrimony,,2021-07-31,,,0
587,Notation,,Notice of Holy Orders,Presbyteral,1966-06-04,,,
3328,Notation,,Notice of Holy Orders,Presbyteral,1984-06-05,,,
2867,Notation,,Notice of Holy Orders,Diaconate,2021-06-05,"St. Dominic Catholic Church, San Francisco, CA",,
2867,Notation,,Notice of Holy Orders,Presbyteral,2022-06-24,"St. Dominic Catholic Church, San Francisco, CA",Bishop Robert Barron,
1519,Notation,,Notice of Holy Orders,Presbyteral,1987-04-25,,,
465,Notation,,Notice of Matrimony,,1992-12-02,,,0
839,Notation,,Notice of Holy Orders,Presbyteral,2006-06-10,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
610,Notation,,Notice of Holy Orders,Presbyteral,1967-06-16,Dominicans,,
761,Notation,,Notice of Holy Orders,Presbyteral,1988-04-09,,,
119,Notation,,Proof of Baptism,,1953-02-01,"Zoar Lutheran Church, Canby OR",,
119,Notation,,Notice of Confirmation,,1987-04-04,"St. Patrick, Canby OR",,
119,Notation,,Notice of Profession of Faith,,1987-04-04,"St. Patrick, Canby OR",,
119,Notation,,Notice of Matrimony,,1978-08-05,,,61
119,Notation,,Notice of Holy Orders,Diaconate,2007-11-03,"Cathedral of the Immaculate Conception, Portland, OR",,
119,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-03-20,,,
119,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2004-12-18,,,
119,Notation,,Notice of Holy Orders,Installation: Candidate,2006-12-09,,,
762,Notation,,Notice of Holy Orders,Presbyteral,2011-06-04,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
763,Notation,,Proof of Baptism,,1966-05-08,"St. Paul Newman Center, Fresno, CA",,
763,Notation,,Notice of Holy Orders,Diaconate,2001-10-13,"Jesuit School of Theology at Berkeley, CA",,
763,Notation,,Notice of Holy Orders,Presbyteral,2002-06-08,"St. Ignatius Church, San Francisco, CA",,
3368,Notation,,Proof of Baptism,,1985-10-01,"San Antonio de Padua, Chaco, Argentina",,
3368,Notation,,Notice of Confirmation,,2000-04-11,"San Antonio de Padua, Chaco, Argentina",,
3368,Notation,,Notice of Matrimony,,2010-06-26,"St. Elizabeth Ann Seton Parish, Aloha, OR",,3369
3336,Notation,,Notice of Holy Orders,Presbyteral,2005-06-01,,"Alhambra, CA",
2407,Notation,,Notice of Holy Orders,Diaconate,2022-12-10,"Mount Angel Abbey, St. Benedict, OR",,
2407,Notation,,Notice of Holy Orders,Presbyteral,2023-11-04,"Mount Angel Abbey, Mount Angel, OR",Most Rev. Liam Cary,
293,Notation,,Proof of Baptism,,1971-02-18,"Párroco de Inmaculada Concepción de María, Ciudad Arce, El Salvador",,
293,Notation,,Notice of Matrimony,,2002-02-16,,,42
293,Notation,,Notice of Holy Orders,Diaconate,2011-10-29,"Cathedral of the Immaculate Conception, Portland, OR",,
293,Notation,,Notice of Holy Orders,Minor Order: Reader,2009-10-31,,,
293,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
293,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
704,Notation,,Notice of Holy Orders,Presbyteral,1998-12-20,"Cristo Sacerdote, Guadalajara, Mexico",Cardinal Juan Sandoval Iniguez,
692,Notation,,Notice of Holy Orders,Diaconate,2000-02-12,,,
692,Notation,,Notice of Holy Orders,Presbyteral,2000-07-08,"Guadalajara, Jalisco, Mexico","Mons. Felipe Tejeda, MSpS",
692,Notation,,Notice of Holy Orders,Minor Order: Reader,1992-08-18,,,
692,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1993-09-16,,,
14,Notation,,Proof of Baptism,,1966-05-08,"Parroquia San Francisco de Acámbaro, Morelia, Mexico",,
14,Notation,,Notice of Matrimony,,1987-02-28,,,0
51,Notation,,Notice of Matrimony,,1990-05-25,,,0
742,Notation,,Notice of Holy Orders,Presbyteral,1965-06-15,Spokane Washington,Most Rev. Bermard K. Topel,
588,Notation,,Notice of Holy Orders,Presbyteral,1987-04-25,,,
3007,Notation,,Notice of Holy Orders,Presbyteral,2020-05-02,St. Stephen Byzantine Catholic Cathedral,,
91,Notation,,Notice of Matrimony,,1980-05-24,,,84
84,Notation,,Proof of Baptism,,1951-09-23,"St. Augustine, Dallas TX",,
84,Notation,,Notice of Matrimony,,1980-05-24,,,91
84,Notation,,Notice of Holy Orders,Diaconate,1997-02-01,"St. Joseph Cathedral, Columbus OH",,
84,Notation,,Notice of Holy Orders,Minor Order: Reader,1994-12-02,,,
84,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1995-11-22,,,
1580,Notation,,Notice of Holy Orders,Presbyteral,1999-04-24,,,
1088,Notation,,Notice of Confirmation,,1985-03-30,"St. Ignatius Church, Portland, OR",,
1088,Notation,,Notice of Holy Orders,Diaconate,1999-11-20,"St. Patrick’s Oakland, CA",,
1088,Notation,,Notice of Holy Orders,Presbyteral,2000-06-17,"St. Ignatius Parish, Portland, OR",Most Rev. Kenneth Steiner,
1088,Notation,,Notice of Holy Orders,Minor Order: Reader,1991-11-01,,,
1088,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1993-04-23,,,
693,Notation,,Proof of Baptism,,1966-07-20,"Apostolic Faith Church, Portland, Oregon",,
693,Notation,,Notice of Confirmation,,1995-04-15,,,
693,Notation,,Notice of Holy Orders,Diaconate,2011-05-20,"Cathedral of the Immaculate Conception, Portland, OR",,
693,Notation,,Notice of Holy Orders,Presbyteral,2012-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
764,Notation,,Notice of Holy Orders,Diaconate,2003-10-25,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",,
764,Notation,,Notice of Holy Orders,Presbyteral,2004-06-05,,,
90,Notation,,Proof of Baptism,,1950-07-09,"Camp Zama, Japan",,
90,Notation,,Notice of Matrimony,,1991-04-27,,,0
258,Notation,,Proof of Baptism,,1954-03-28,"Our Lady of the Holy Rosary, Sun Valley CA",,
258,Notation,,Notice of Matrimony,,1987-09-12,,,0
258,Notation,,Notice of Holy Orders,Minor Order: Reader,2012-11-03,,,
258,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2014-02-23,,,
651,Notation,,Notice of Holy Orders,Presbyteral,2000-08-12,,,
662,Notation,,Notice of Holy Orders,Presbyteral,2010-06-05,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
3054,Notation,,Notice of Holy Orders,Diaconate,2023-08-27,,,
3054,Notation,,Notice of Holy Orders,Presbyteral,2024-04-06,"Notre Dame, South Bend, IN",,
565,Notation,,Proof of Baptism,,1977-11-19,"St. John the Baptist Parish, Camalig, Albay",,
565,Notation,,Notice of Confirmation,,1989-05-01,,,
565,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
3038,Notation,,Notice of Holy Orders,Presbyteral,2013-04-03,"Tavera, Michoacan",Sr. Obispo Rafael Sandoval Sandoval,
263,Notation,,Proof of Baptism,,1957-08-18,"San Carlos Borromeo, La Unión, El Salvador",,
263,Notation,,Notice of Matrimony,,1982-05-08,,,246
263,Notation,,Notice of Holy Orders,Diaconate,2007-11-03,"Cathedral of the Immaculate Conception, Portland, OR",,
263,Notation,,Notice of Holy Orders,Minor Order: Reader,2006-12-09,,,
263,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2006-12-09,,,
263,Notation,,Notice of Holy Orders,Installation: Candidate,2006-12-09,,,
323,Notation,,Notice of Matrimony,,2000-07-15,,,0
602,Notation,,Notice of Holy Orders,Presbyteral,1983-05-27,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Cornelius M. Power,
611,Notation,,Notice of Holy Orders,Presbyteral,1991-09-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. William J. Levada,
896,Notation,,Notice of Holy Orders,Presbyteral,2014-06-27,,,
437,Notation,,Proof of Baptism,,1953-12-13,"St. Agatha Parish, Portland, Oregon",,
437,Notation,,Notice of Confirmation,,1966-05-01,,,
437,Notation,,Notice of Matrimony,,1979-04-21,,,0
437,Notation,,Notice of Holy Orders,Minor Order: Reader,1976-12-08,,,
437,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1976-02-19,,,
60,Notation,,Notice of Matrimony,,1978-07-29,,,0
365,Notation,,Proof of Baptism,,1977-04-10,"St. Philomena, Des Moines WA",,
365,Notation,,Notice of Matrimony,,2007-05-26,,,0
2073,Notation,,Notice of Holy Orders,Presbyteral,2019-06-13,,,
2049,Notation,,Proof of Baptism,,1981-12-27,"St. Mary Parish, Mount Angel, Oregon",,
2049,Notation,,Notice of Matrimony,,2004-12-17,,,0
869,Notation,,Notice of Holy Orders,Presbyteral,1971-05-20,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",Most Rev. Robert J. Dwyer,
151,Notation,,Proof of Baptism,,1950-08-20,"Our Lady of Peace, Minneapolis MN",,
151,Notation,,Notice of Matrimony,,1978-09-09,,,97
151,Notation,,Notice of Holy Orders,Diaconate,2005-11-05,"Cathedral of the Immaculate Conception, Portland, OR",,
151,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
151,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
151,Notation,,Notice of Holy Orders,Installation: Candidate,2004-12-18,,,
97,Notation,,Notice of Matrimony,,1978-09-09,,,151
801,Notation,,Notice of Holy Orders,Presbyteral,1989-02-11,,,
2249,Notation,,Proof of Baptism,,1989-08-15,"Sacred Heart, Lawrenceburg, TN",,
2249,Notation,,Notice of Confirmation,,2006-05-11,"St. Cecilia, Houston, TX",,
176,Notation,,Proof of Baptism,,1959-03-22,"Oakridge Methodist Church, Oakridge OR",,
176,Notation,,Notice of Matrimony,,1970-12-21,,,0
176,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-03-20,,,
802,Notation,,Notice of Holy Orders,Presbyteral,1993-06-12,,,
2024,Notation,,Notice of Holy Orders,Diaconate,2020-02-04,,,
2024,Notation,,Notice of Holy Orders,Presbyteral,2022-10-02,,,
1102,Notation,,Proof of Baptism,,1944-08-21,"St. Charles Church, Salmon, ID",,
1102,Notation,,Notice of Holy Orders,Diaconate,1974-11-30,"Toronto, ON",,
1102,Notation,,Notice of Holy Orders,Presbyteral,1975-06-14,"Portland, OR",,
1102,Notation,,Notice of Holy Orders,Minor Order: Reader,1969-05-17,,,
1102,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1969-05-18,,,
3392,Notation,,Notice of Matrimony,,2015-10-25,,,0
1104,Notation,,Notice of Holy Orders,Presbyteral,1992-05-02,"Ascension Church, Portland, OR","Most Rev. Paul Waldschmidt, CSC, STD",
16,Notation,,Proof of Baptism,,1948-05-30,"Holy Redeemer, Montrose CA",,
16,Notation,,Notice of Matrimony,,1969-08-23,,,36
16,Notation,,Notice of Holy Orders,Diaconate,2012-11-03,"Cathedral of the Immaculate Conception, Portland, OR",,
16,Notation,,Notice of Holy Orders,Minor Order: Reader,2008-10-25,,,
16,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
16,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
736,Notation,,Proof of Baptism,,1935-04-21,"St. Joseph Church, Berkeley, CA",,
736,Notation,,Notice of Holy Orders,Presbyteral,1961-06-09,"St. Mary’s Cathedral, San Francisco, CA",Most Rev. Hugh Donahue,
264,Notation,,Proof of Baptism,,1952-01-01,"Church of Saint Michael’s Hospital, Stevens Point WI",,
264,Notation,,Notice of Matrimony,,2000-05-20,,,0
2771,Notation,,Proof of Baptism,,1996-07-13,"San Jose Church, Albuquerque, NM",,
2771,Notation,,Notice of Confirmation,,2010-05-13,"San Jose Church, Albuquerque, NM",,
2771,Notation,,Notice of Holy Orders,Diaconate,2021-05-20,"St. Joseph on the Rio Grande, Albuquerque, NM",,
2771,Notation,,Notice of Holy Orders,Minor Order: Reader,2018-03-15,,,
2771,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2019-03-08,,,
2771,Notation,,Notice of Holy Orders,Installation: Candidate,2020-10-21,,,
695,Notation,,Proof of Baptism,,1957-05-20,"St. Boniface Detroit, Michigan",,
695,Notation,,Notice of Holy Orders,Presbyteral,1984-06-30,"Our Lady Queen of Angels Detroit, Michigan",Most Rev. Patrick R. Cooney,
3015,Notation,,Notice of Profession of Faith,,2009-10-11,,,
3015,Notation,,Notice of Holy Orders,Diaconate,2018-09-15,"Church of St. Ignatius of Loyola, Chestnut Hill, MA",,
3015,Notation,,Notice of Holy Orders,Presbyteral,2019-06-08,"Our Lady of Lavang, Portland, OR",Most Rev. Archbishop Alexander K. Sample,
3015,Notation,,Notice of Holy Orders,Minor Order: Reader,2012-03-14,,,
1532,Notation,,Notice of Matrimony,,1995-02-18,,,0
229,Notation,,Proof of Baptism,,1941-04-27,"Church of the Holy Rosary, Bronx NY",,
229,Notation,,Notice of Matrimony,,2003-02-16,,,0
126,Notation,,Notice of Matrimony,,1992-12-19,,,0
696,Notation,,Notice of Holy Orders,Presbyteral,1998-10-24,"St. Boniface Parish, San Francisco, California",Most Rev. Richard Garcia,
697,Notation,,Proof of Baptism,,1995-04-15,"Our Lady of Perpetual Help, Albany, OR",,
697,Notation,,Notice of Confirmation,,1995-04-15,,,
697,Notation,,Notice of Holy Orders,Diaconate,2012-05-19,"Cathedral of the Immaculate Conception, Portland, OR",,
697,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
73,Notation,,Proof of Baptism,,1958-09-28,,,
73,Notation,,Notice of Confirmation,,2004-04-10,"St. Cecilia, Beaverton, OR",,
73,Notation,,Notice of Profession of Faith,,2004-04-10,"St. Cecilia, Beaverton, OR",,
73,Notation,,Notice of Matrimony,,1985-03-30,,,0
715,Notation,,Notice of Holy Orders,Presbyteral,1970-10-18,"Sublimity, Oregon",Most Rev. Robert J. Dwyer,
784,Notation,,Notice of Holy Orders,Presbyteral,1967-06-11,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Peter Birch,
1113,Notation,,Notice of Holy Orders,Presbyteral,2008-05-31,,,
3060,Notation,,Proof of Baptism,,1954-11-28,"Cathedral of the Holy Spirit, Bismarck, North Dakota",,
3060,Notation,,Notice of Matrimony,,1979-06-01,"First Lutheran Church, Lake Lillian, Minnesota (with dispensation)",,3061
3060,Notation,,Notice of Holy Orders,Diaconate,1988-05-14,"Cathedral of the Epiphany, Sioux City, Iowa",,
3060,Notation,,Notice of Holy Orders,Minor Order: Reader,1988-04-05,,,
3060,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1988-04-05,,,
218,Notation,,Proof of Baptism,,1968-01-28,"Church of Christ, Milwaukie OR",,
218,Notation,,Notice of Confirmation,,2001-04-14,"St. John the Baptist, Milwaukie OR",,
218,Notation,,Notice of Profession of Faith,,2001-04-14,"St. John the Baptist, Milwaukie OR",,
218,Notation,,Notice of Matrimony,,1980-06-14,,,206
218,Notation,,Notice of Holy Orders,Diaconate,2011-10-29,"Cathedral of the Immaculate Conception, Portland, OR",,
218,Notation,,Notice of Holy Orders,Minor Order: Reader,2008-10-25,,,
218,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
218,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
699,Notation,,Notice of Holy Orders,Presbyteral,1999-06-12,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
3325,Notation,,Proof of Baptism,,2002-06-02,"Hoang Mai Church, Saigon, Go Vap, Vietnam",,
3325,Notation,,Notice of Confirmation,,2019-05-17,"Christ Cathedral Parish, Garden Grove, CA",,
2793,Notation,,Proof of Baptism,,1960-06-19,"Than Tam Catholic Church, Bao Loc, Vietnam",,
2793,Notation,,Notice of Confirmation,,1968-03-03,"Than Tam Catholic Church, Bao Loc, Vietnam",,
2793,Notation,,Notice of Matrimony,,1987-06-20,"Our Lady of Lavang Parish, Portland, OR",,2794
2793,Notation,,Notice of Holy Orders,Minor Order: Reader,2024-05-19,,,
2793,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2024-05-19,,,
803,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
791,Notation,,Notice of Holy Orders,Presbyteral,1996-07-12,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Francis E. George, OMI",
531,Notation,,Proof of Baptism,,1993-12-04,"Our Lady of LaVang Parish, Portland, OR",,
531,Notation,,Notice of Confirmation,,2010-05-23,"Our Lady of LaVang Parish, Portland, OR",,
531,Notation,,Notice of Holy Orders,Diaconate,2019-10-03,"Papal Basilica of Saint Peter, Rome",,
531,Notation,,Notice of Holy Orders,Presbyteral,2021-06-26,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
531,Notation,,Notice of Holy Orders,Minor Order: Reader,2017-01-15,,,
531,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2018-02-25,,,
531,Notation,,Notice of Holy Orders,Installation: Candidate,2016-04-09,,,
533,Notation,,Proof of Baptism,,1976-04-04,"Duyen Lang Church, Long Chao, Xuan Loe, Vietnam",,
533,Notation,,Notice of Confirmation,,1988-02-28,"Hoang Mai Church, Xom Moi, Saigon, Vietnam",,
533,Notation,,Notice of Holy Orders,Diaconate,2022-05-21,"St. Mary’s Cathedral of the Immaculate Conception, Portland, OR",,
533,Notation,,Notice of Holy Orders,Presbyteral,2023-06-03,"St. Mary’s Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
533,Notation,,Notice of Holy Orders,Minor Order: Reader,2019-03-08,,,
533,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2020-02-11,,,
533,Notation,,Notice of Holy Orders,Installation: Candidate,2021-10-20,,,
275,Notation,,Proof of Baptism,,1966-09-11,"St. Hedwig Catholic Church, Los Alamitos CA",,
275,Notation,,Notice of Matrimony,,1989-12-23,,,0
552,Notation,,Proof of Baptism,,1977-03-16,"Twin Lakes Baptist Church, Santa Cruz, CA",,
552,Notation,,Notice of Matrimony,,1972-08-19,,,553
552,Notation,,Notice of Holy Orders,Diaconate,2012-08-18,"Cathedral of St. Eugene, Santa Rosa, CA",,
552,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2012-03-10,,,
552,Notation,,Notice of Holy Orders,Installation: Candidate,2008-11-15,,,
589,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
870,Notation,,Notice of Holy Orders,Diaconate,1999-06-25,"St. Mary, Corvallis",,
870,Notation,,Notice of Holy Orders,Presbyteral,2000-07-01,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
639,Notation,,Notice of Holy Orders,Presbyteral,1989-12-06,"Swansea, Wales",Very Rev. D. J. Mullins,
300,Notation,,Notice of Matrimony,,1986-07-19,,,0
241,Notation,,Notice of Matrimony,,1975-04-21,,,0
737,Notation,,Notice of Holy Orders,Presbyteral,1963-05-25,"Portland, OR",Most Rev. Edward D. Howard,
872,Notation,,Notice of Holy Orders,Presbyteral,1960-05-28,"Conception Abbey, MO",John P. Cody,
823,Notation,,Proof of Baptism,,1946-12-15,"St Mary Church, Aberdeen, South Dakota",,
823,Notation,,Notice of Holy Orders,Presbyteral,1973-06-23,"St. Joseph, Salem",Most Rev. Robert J. Dwyer,
122,Notation,,Proof of Baptism,,1964-02-09,"St. Louis Church, Lucerne Mines PA",,
122,Notation,,Notice of Matrimony,,1964-10-10,,,0
122,Notation,,Notice of Holy Orders,Minor Order: Reader,2002-10-26,,,
122,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2002-10-26,,,
3376,Notation,,Notice of Matrimony,,2014-09-06,,,0
579,Notation,,Notice of Holy Orders,Presbyteral,1984-12-29,"Las Vegas, Nevada",Most Rev. James P. Lyke,
667,Notation,,Notice of Holy Orders,Diaconate,1990-09-27,"St. Mary’s Cathedral, Trichy, India",,
667,Notation,,Notice of Holy Orders,Presbyteral,1991-05-09,"Dindigul, India",Very Rev. SL Gabriel,
2738,Notation,,Proof of Baptism,,1963-12-15,,,
2738,Notation,,Notice of Confirmation,,1978-06-18,,,
2738,Notation,,Notice of Holy Orders,Presbyteral,1994-07-08,"St. Anthony’s Church, Nallamanayakkanpatti, Dindigul, India",Bishop Lawrence Gabriel,
3319,Notation,,Notice of Confirmation,,2012-05-25,"Queen of Peace, Salem, OR",,
478,Notation,,Proof of Baptism,,1983-06-12,"St. John Paul II Parish, Pawtucket, RI",,
478,Notation,,Notice of Confirmation,,1999-05-05,,,
478,Notation,,Notice of Matrimony,,2010-08-22,,,0
298,Notation,,Proof of Baptism,,1960-02-21,"Parroquia del Sagrario Metropolitano, Hermosillo, Sonora, Mexico",,
298,Notation,,Notice of Matrimony,,1990-03-10,,,257
298,Notation,,Notice of Holy Orders,Diaconate,1997-11-29,"Cathedral of the Immaculate Conception, Portland, OR",,
298,Notation,,Notice of Holy Orders,Minor Order: Reader,1996-08-03,,,
298,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1996-08-03,,,
298,Notation,,Notice of Holy Orders,Installation: Candidate,1997-07-12,,,
1121,Notation,,Notice of Holy Orders,Presbyteral,1965-12-18,"St. Peter’s Basilica, Rome, Italy",Archbishop Francis Reh,
652,Notation,,Proof of Baptism,,1932-02-14,"St Patrick Parish, Portland, OR",,
652,Notation,,Notice of Confirmation,,1943-11-01,"The Madeleine Parish, Portland, OR",,
652,Notation,,Notice of Profession of Faith,,1943-11-01,"The Madeleine Parish, Portland, OR",,
652,Notation,,Notice of Holy Orders,Presbyteral,1965-05-22,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Edward D. Howard,
3339,Notation,,Notice of Holy Orders,Presbyteral,2001-05-04,,,
612,Notation,,Notice of Holy Orders,Presbyteral,1975-05-25,"St. Charles, Portland, OR",Most Rev. Cornelius M. Power,
458,Notation,,Proof of Baptism,,1954-04-25,"Assumption of the Blessed Virgin Mary Church, Pulaski, WI",,
458,Notation,,Notice of Confirmation,,1965-04-20,,,
613,Notation,,Proof of Baptism,,1977-05-01,"St. Anne, Forks, Washington",,
613,Notation,,Notice of Holy Orders,Diaconate,2008-04-19,"Cathedral of the Immaculate Conception, Portland, OR",,
613,Notation,,Notice of Holy Orders,Presbyteral,2009-06-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
804,Notation,,Notice of Holy Orders,Presbyteral,1992-04-26,"Madurai, India",Most Rev. Marianus Arokiasamy,
260,Notation,,Proof of Baptism,,1966-03-03,"Parroco San Rafael la Independencia, Huehuetenango, Guatemala",,
260,Notation,,Notice of Matrimony,,1987-11-08,,,240
260,Notation,,Notice of Holy Orders,Diaconate,2011-10-29,"Cathedral of the Immaculate Conception, Portland, OR",,
260,Notation,,Notice of Holy Orders,Minor Order: Reader,2009-10-31,,,
260,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
260,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
2080,Notation,,Proof of Baptism,,1950-09-24,"Our Lady of Mt. Carmel, Mill Valley, CA",,
2080,Notation,,Notice of Confirmation,,1964-04-25,"St. Patrick’s Church, Larkspur, CA",,
2080,Notation,,Notice of Matrimony,,1978-04-02,,,0
205,Notation,,Notice of Matrimony,,1970-06-06,,,0
765,Notation,,Notice of Holy Orders,Presbyteral,1996-07-12,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Francis E. George, OMI",
54,Notation,,Proof of Baptism,,1966-04-24,"The United Methodist Church, Dunsmuir CA",,
54,Notation,,Notice of Matrimony,,1974-06-14,,,0
54,Notation,,Notice of Holy Orders,Minor Order: Reader,2014-02-23,,,
54,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2014-02-23,,,
889,Notation,,Notice of Holy Orders,Presbyteral,1972-04-29,,,
534,Notation,,Notice of Holy Orders,Diaconate,2017-09-28,"Altar of the Chair, Papal Basilica of Saint Peter, Vatican",,
534,Notation,,Notice of Holy Orders,Presbyteral,2019-06-15,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
534,Notation,,Notice of Holy Orders,Minor Order: Reader,2015-01-11,,,
534,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2016-03-13,,,
534,Notation,,Notice of Holy Orders,Installation: Candidate,2014-05-16,,,
1583,Notation,,Notice of Holy Orders,Presbyteral,2010-06-27,"St. Mary’s Cathedral, Jaffna, Sri Lanka",Most Rev. Dr. Thomas Savundaranayagam,
824,Notation,,Notice of Holy Orders,Presbyteral,1975-05-17,San Francisco,Most Rev. Joseph T. McGucken,
26,Notation,,Proof of Baptism,,1943-01-17,Kankakee IL,,
26,Notation,,Notice of Matrimony,,2004-11-26,,,0
2005,Notation,,Proof of Baptism,,1979-02-11,"St. Edward the Confessor, Twin Falls, ID",,
2005,Notation,,Notice of Confirmation,,1997-04-15,"St. Edward the Confessor Catholic Church, Twin Falls, ID",,
2005,Notation,,Notice of Profession of Faith,,2015-09-08,,,
2005,Notation,,Notice of Holy Orders,Diaconate,2019-08-17,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",,
2005,Notation,,Notice of Holy Orders,Presbyteral,2020-05-23,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
