,Name,Formal_Name__c,RecordTypeId,mbfc__Church_Type__c,mbfc__Deanery__c,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Fax,mbfc__Email__c,Website,mbfc__Mass_Times__c,mbfc__Abbreviation__c,mbfc__Religious_Suffix__c,mbfc__Type_Members__c,Description,Archdiocese_Assigns_Clergy__c,mbfc__Non_Latin__c,Disabled_Access__c,Locator_Description__c,Parent_Parish__c,mbfc__Date_Established__c,County__c,Sanctuary_Capacity__c,Religious_Secular_Order__c,Pontifical_or_Diocesan_Order__c,Archdiocesan_School_Code__c,Grades_Provided__c,Job_Id__c,Archdpdx_Migration_Id__c,mbfc__Organization_Type__c,ParentId
121,"St. Clare, Portland",St. Clare,012Ps000002fU2bIAE,Parish,0017x0000107knVAAQ,"St. Clare Parish
8535 SW 19th Ave",Portland,OR,97219,,503-244-1037,503-246-2665,office@saintclarechurch.org,https://www.saintclarechurch.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:30 am, 10:45 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon, Wed–Fri 8:30 am</p><p><br></p><p><strong>Reconciliaton (Confession)</strong></p><p>Saturday 4:00–4:30 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>1st Saturday, 2:00–4:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,SW 19th Ave and Spring Garden St,,1913-01-01,Multnomah,450.0,,,,,152,Parishes_93,,0017x0000107vUEAAY
122,"St. Elizabeth of Hungary, Portland",St. Elizabeth of Hungary,012Ps000002fU2bIAE,Parish,0017x0000107knIAAQ,"St. Elizabeth of Hungary Parish
4112 SW 6th Avenue Dr",Portland,OR,97239,,503-222-2168,,office@stelizabethportland.net,https://stelizabethportland.net/,"<p><strong>Weekend Mass</strong></p><p>Saturday 4:00 pm<br>Sunday 9:00 am, 11:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tue-Fri 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:00–3:30 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1953-01-01,Multnomah,175.0,,,,,152,Parishes_94,,0017x0000107vUEAAY
123,"St. Francis of Assisi, Portland",St. Francis of Assisi,012Ps000002fU2bIAE,Parish,0017x0000107knSAAQ,"St. Francis of Assisi Parish
330 SE 11th Ave",Portland,OR,97214,,503-232-5880,503-232-6449,info@stfrancispdx.org,https://www.stfrancispdx.org/,"<p><strong>Weekend Mass</strong></p><p>Sunday 9:30 am, 7:00 pm</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday–Saturday 12:05 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 11:00–11:45 am<br>Sunday 8:30–9:00 am</p><p><br></p><p><strong>Adoration</strong></p><p>Friday 7:00–8:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1876-01-01,Multnomah,0.0,,,,,152,Parishes_95,,0017x0000107vUEAAY
124,"St. Ignatius, Portland",St. Ignatius,012Ps000002fU2bIAE,Parish,0017x0000107knSAAQ,"St. Ignatius Parish
3400 SE 43rd Ave",Portland,OR,97206,,503-777-1491,503-777-3142,office@sipdx.org,https://www.sipdx.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:00 am, 10:30 am, 7:30 pm (Contemplative)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday-Friday 8:00 am (at Loyola Jesuit Center)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–4:30 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,SE 43rd Ave and Powell Blvd,,1907-01-01,Multnomah,425.0,,,,,152,Parishes_96,,0017x0000107vUEAAY
125,"St. Irene the Virgin and Great Martyr, Portland",St. Irene the Virgin and Great Martyr,012Ps000002fU2bIAE,Parish,,"St. Irene the Virgin and Great Martyr Parish
4630 N Maryland Ave",Portland,OR,97217,,503-281-6744,,,https://saintirene.org/,<p><strong>Mass</strong></p><p>Saturday 7:00 pm (Great Vespers)<br>Sunday 10:00 am (Divine Liturgy of St. John Chrysostom)</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,True,False,,,2000-01-01,Multnomah,0.0,,,,,152,Parishes_97,,0017x0000107vUEAAY
126,"St. John Fisher, Portland",St. John Fisher,012Ps000002fU2bIAE,Parish,0017x0000107knGAAQ,"St. John Fisher Parish
4567 SW Nevada St",Portland,OR,97219,,503-244-4945,503-452-8570,church@johnfisher.org,https://www.johnfisher.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 4:30 pm<br>Sunday 9:00 am, 11:00 am, and 5:30 pm</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon-Sat 9:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:00–4:00 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Tuesday 9:30–10:30</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,SW 45th Ave and Nevada St,,1956-01-01,Multnomah,700.0,,,,,152,Parishes_98,,0017x0000107vUEAAY
127,"St. Joseph the Worker, Portland",St. Joseph the Worker,012Ps000002fU2bIAE,Parish,0017x0000107knJAAQ,"St. Joseph the Worker Parish
2310 SE 148th Ave",Portland,OR,97233,,503-761-8710,503-761-8545,sjtwadmin@comcast.net,https://www.stjosephtheworkerpdx.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:30 am, 11:00 am, 1:00 pm (Español)<br>2nd and 4th Sunday 4:00 pm (Zomi/Myanmar)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday, Thursday 12:15 pm (adoration 11:45 am)<br>Wednesday,Friday 8:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Wednesday 6:00–7:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,SE 148th Ave near Division St,,1885-01-01,Multnomah,370.0,,,,,152,Parishes_99,,0017x0000107vUEAAY
128,"St. Juan Diego, Portland",St. Juan Diego,012Ps000002fU2bIAE,Parish,0017x0000107knGAAQ,"St. Juan Diego Parish
5995 NW 178th Ave",Portland,OR,97229,,503-644-1617,503-726-1657,office@stjuandiego.org,http://www.stjuandiego.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:30 am, 10:30 am (Español), 12:15 pm</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday–Wednesday 6:00 pm<br>Thursday Noon</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Wednesday 5:00–5:45 pm<br>Saturday 3:30–4:30 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,NW 178th Ave and Springville Rd,,2002-01-01,Washington,422.0,,,,,152,Parishes_100,,0017x0000107vUEAAY
129,"St. Mary’s Cathedral, Portland",St. Mary’s Cathedral of the Immaculate Conception,012Ps000002fU2bIAE,Parish,0017x0000107knIAAQ,"St. Mary’s Cathedral Parish
1716 NW Davis St",Portland,OR,97209,,503-228-4397,503-242-2568,parishoffice@cathedralpdx.org,https://www.maryscathedral.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 7:30 am, 9:00 am, 11:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday 5:30 pm<br>Tuesday–Saturday 7:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Monday, Saturday 4:00 pm – 5:15 pm<br>First Saturday after 7:30 am Mass</p><p><br></p><p><strong>Adoration</strong></p><p>Thursday 8:00 am – 6:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,NW 18th Ave and Couch St,,1851-01-01,Multnomah,650.0,,,,,152,Parishes_101,,0017x0000107vUEAAY
130,"The Madeleine, Portland",St. Mary Magdalene,012Ps000002fU2bIAE,Parish,0017x0000107knOAAQ,"The Madeleine Parish
3123 NE 24th Ave",Portland,OR,97212,,503-281-5777,503-281-0673,jreilly@themadeleine.edu,https://themadeleine.edu/site/church/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:00 am, 10:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday, Wednesday, Friday 8:00 am<br>Thursday 8:00 am (when school is not in session), 2:00 pm (when school is in session)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,NE 24th Ave and Siskiyou St,,1911-01-01,Multnomah,500.0,,,,,152,Parishes_102,,0017x0000107vUEAAY
131,"St. Michael the Archangel, Portland",St. Michael the Archangel,012Ps000002fU2bIAE,Parish,0017x0000107knIAAQ,"St. Michael the Archangel Parish
424 SW Mill St",Portland,OR,97201,,503-228-8629,503-827-7689,officemanager@stmichaelportland.org,http://www.stmichaelportland.org/,"<p><strong>Weekend Mass</strong></p><p>Sat 5:00 pm<br>Sun 8:00 am, 10:00 am, 7:00 pm<br>3rd Sat 2:00 am (in Indonesian)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tue–Wed 5:45 pm<br>Thu-Fri 12:05 pm<br>Sat 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Tue–Wed 5:15_5:45 pm<br>Thu-Fri 11:35 am–Noon<br>Sun 6:00–6:30 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Tue–Wed 4:45 pm<br>Thu 1:00 pm–4:00 am Friday</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1894-01-01,Multnomah,249.0,,,,,152,Parishes_103,,0017x0000107vUEAAY
132,"St. Patrick, Portland",St. Patrick,012Ps000002fU2bIAE,Parish,0017x0000107knIAAQ,"St. Patrick Parish
1623 NW 19th Ave",Portland,OR,97209,,503-222-4086,503-222-6642,office@stpatrickpdx.org,https://stpatrickpdx.org/,"<p><strong>Weekend Mass</strong></p><p>Sunday 8:00 am (Español), 10:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday-Fridat 6:00 pm<br>Saturday 9:00 am (Latin, Novus Ordo)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Wednesday 6:30–7:30 pm<br>Saturday 8:00–8:45 am</p><p><br></p><p><strong>Adoration and Confession</strong></p><p>Wednesday 6:30–7:30 pm (with adoration)<br></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1889-01-01,Multnomah,275.0,,,,,152,Parishes_104,,0017x0000107vUEAAY
133,"St. Peter, Portland",St. Peter,012Ps000002fU2bIAE,Parish,0017x0000107knJAAQ,"St. Peter Parish
8623 SE Woodstock Blvd",Portland,OR,97266,,503-777-3321,503-777-3351,stpeterportland@archdpdx.org,https://stpeterpdx.org/,"<p><strong>Weekend Mass</strong></p><p>Sunday 10:30 am (English, ASL), 12:00 noon (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday 11:30 am<br>Thu 9:00 am (in chapel), 7:00 pm (Español)<br>Fri 9:00 am (in chapel)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sun 9:00–9:45 and 11:00–11:45 am<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Thursday 7:30–8:30 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,"5905 SE 87th Ave, between Foster Rd and Woodstock Blvd",,1910-01-01,Multnomah,800.0,,,,,152,Parishes_105,,0017x0000107vUEAAY
134,"St. Philip Neri, Portland",St. Philip Neri,012Ps000002fU2bIAE,Parish,0017x0000107knSAAQ,"St. Philip Neri Parish
2408 SE 16th Ave",Portland,OR,97214,,503-231-4955,503-736-1383,info@stphilipneripdx.org,https://www.stphilipneripdx.org/,<p><strong>Weekend Mass</strong></p><p>Saturday 4:00 pm<br>Sunday 9:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday–Thursday 9:00 am<br>Friday 12:10 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,SE 16th Ave and Division St,,1912-01-01,Multnomah,400.0,,,,,152,Parishes_106,,0017x0000107vUEAAY
135,"St. Pius X, Portland",St. Pius X,012Ps000002fU2bIAE,Parish,0017x0000107knGAAQ,"St. Pius X Parish
1280 NW Saltzman Rd",Portland,OR,97229,,503-644-5264,603-626-6540,frontdesk@stpius.org,http://www.stpius.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:00 am, 10:30 am, 1:00 pm (Español), 5:00 pm (contemporary)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday-Saturday 8:15 am<br>Thursday 7:00 pm (Español)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–4:30 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>9:00 am–4:00 pm, or<br>Perpetual; please visit parish office in person for details</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1954-01-01,Washington,750.0,,,,,152,Parishes_107,,0017x0000107vUEAAY
136,"St. Rita, Portland",St. Rita,012Ps000002fU2bIAE,Parish,0017x0000107knJAAQ,"St. Rita Parish
10029 NE Prescott St",Portland,OR,97220,,503-252-3403,503-256-9682,stritapdx@stritapdx.org,http://www.stritapdx.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 7:30 am, 10:00 am, Noon (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday–Friday 7:45 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00–5:00 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,NE 102nd Ave and Prescott St,,1923-01-01,Multnomah,694.0,,,,,152,Parishes_108,,0017x0000107vUEAAY
137,"St. Rose of Lima, Portland",St. Rose of Lima,012Ps000002fU2bIAE,Parish,0017x0000107knOAAQ,"St. Rose of Lima Parish
2727 NE 54th Ave",Portland,OR,97213,,503-281-5318,503-284-8350,dcooper@strosepdx.org,https://strosepdxparish.org/,<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 9:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday-Saturday 8:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sunday 8:30–9:00 am<br>Tuesday–Saturday 7:30–7:50 am<br>Wednesday 6:00–7:00 pm<br>Friday 7:00–9:00 pm (during adoration)<br>Saturday 4:00–5:00 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Wednesday 6:00–7:00 pm (praise and worship)<br>Friday 7:00–9:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,NE Alameda St and 54th Ave,,1911-01-01,Multnomah,450.0,,,,,152,Parishes_109,,0017x0000107vUEAAY
138,"St. Sharbel Maronite Catholic Church, Portland",St. Sharbel Maronite Catholic Church,012Ps000002fU2bIAE,Parish,,"St. Sharbel Maronite Catholic Church Parish
1804 SE 16th Ave",Portland,OR,97214,,503-231-3853,,stsharbelpdx@gmail.com,http://stsharbel.org/,<p><strong>Divine Liturgy (Mass)</strong></p><p>Sunday 10:30 am</p><p><br></p><p><strong>Adoration</strong></p><p>Sunday 9:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,True,False,SE 16th Ave and Poplar Ave,,1970-01-01,Multnomah,0.0,,,,,152,Parishes_110,,0017x0000107vUEAAY
139,"St. Stanislaus, Portland",St. Stanislaus,012Ps000002fU2bIAE,Parish,0017x0000107knOAAQ,"St. Stanislaus Parish
3916 N Interstate Ave",Portland,OR,97227,,503-281-7532,503-281-7532,parish@ststanislausparish.com,http://www.ststanislausparish.com/,"<p><strong>Weekend Mass</strong></p><p>Sunday 9:00 am (English, on First Sun Croatian), 11:00 am (Polish), 7:00 pm<br>First Sunday 9:00 am (Croatian)<br></p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday 9:00 am<br>Tuesday 11:00 am<br>Wednesday 9:00 am (Latin)<br>Friday 7:00 pm (Polish)<br>First Friday 11:00 am<br>Saturday 9:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>30 minutes before each Mass<br>First Friday during adoration<br>or upon request</p><p><br></p><p><strong>Adoration</strong></p><p>First Friday 10:00 am–6:45 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,False,,,1907-01-01,Multnomah,400.0,,,,,152,Parishes_111,,0017x0000107vUEAAY
140,"St. Stephen, Portland",St. Stephen,012Ps000002fU2bIAE,Parish,0017x0000107knSAAQ,"St. Stephen Parish
1112 SE 41st Ave",Portland,OR,97214,,503-234-5019,503-239-5985,saintstephen@archdpdx.org,https://www.saintstephenpdx.com/,<p><strong>Weekend Mass</strong></p><p>Saturday<br>4:00 PM Sung First Vespers of Sunday<br>5:00 PM English Mass (Missal of Paul VI)<br><br>Sunday<br>8:00 AM Latin Low Mass <br>10:30 AM Latin Sung Mass (Missa Cantata)<br>5:00 PM Latin Low Mass <br></p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday<br>8:00 AM Latin Low Mass (no sermon)<br><br>Tuesday <br>8:00 AM Latin Low Mass (no sermon)<br>12:00 PM Latin Low Mass (with sermon)<br><br>Wednesday<br>8:00 AM Latin Low Mass (no sermon)<br>6:45 PM Latin Low Mass<br><br>Thursday<br>8:00 AM Latin Low Mass (no sermon)<br>6:45 PM Latin Low Mass<br><br>Friday<br>8:00 AM Latin Low Mass (no sermon)<br>12:00 PM Latin Low Mass (with sermon)<br><br>Saturday<br>9:00 AM Sung Latin Mass​</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sunday 9:15 am<br>Wednesday 5:30 pm<br>Thursday 11:00 am<br>Friday 11:00 am<br>Saturday 10:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,SE 41st Ave and Salmon St,,1907-01-01,Multnomah,280.0,,,,,152,Parishes_112,,0017x0000107vUEAAY
141,"St. Therese, Portland",St. Thérèse of the Child Jesus and the Holy Face,012Ps000002fU2bIAE,Parish,0017x0000107knJAAQ,"St. Therese Parish
1260 NE 132nd Ave",Portland,OR,97230,,503-256-5850,503-253-3560,info@stthereseor.org,https://www.stthereseor.org/,<p><strong>Weekend Mass</strong></p><p>Sat 5:00 pm<br>Sun 10:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday–Saturday 8:03 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–4:30 pm<br>First Saturday 9:00–10:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,,,1955-01-01,Multnomah,550.0,,,,,152,Parishes_113,,0017x0000107vUEAAY
142,"St. Thomas More, Portland",St. Thomas More,012Ps000002fU2bIAE,Parish,0017x0000107knIAAQ,"St. Thomas More Parish
3525 SW Patton Rd",Portland,OR,97221,,503-222-2055,503-242-1831,stmparish@stmpdx.org,https://www.stmpdx.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:00 am, 10:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday-Friday 8:20 am, 5:00 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,SW Patton Rd and Humphrey Blvd,,1936-01-01,Multnomah,300.0,,,,,152,Parishes_114,,0017x0000107vUEAAY
143,"Nativity of the Blessed Virgin Mary, Rainier",Nativity of the Blessed Virgin Mary,012Ps000002fU2bIAE,Parish,0017x0000107knHAAQ,"Nativity of the Blessed Virgin Mary Parish
PO Box 340",Rainier,OR,97048,,503-556-5641,,nbvm.sjb.bulletin@gmail.com,http://www.nativityofbvm.org/,<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 9:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday-Friday 11:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,E 2nd St and E D St,,1910-01-01,Columbia,148.0,,,,,152,Parishes_115,,0017x0000107vUEAAY
144,"St. Philip Benizi, Redland",St. Philip Benizi,012Ps000002fU2bIAE,Parish,0017x0000107knRAAQ,"St. Philip Benizi Parish
18211 S Henrici Rd",Oregon City,OR,97045,,503-631-2882,503-631-7443,stphilipbenizi_redland@archdpdx.org,http://www.philipbenizi.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 8:00 am, 10:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon, Wed, Thu, Fri 8:00 am<br>Tue 6:30 pm<br>First Saturday 8:00 am (anointing of the sick)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00–5:00 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Thursday 9:00 am–9:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,S Redland Rd and Henrici Rd,,1963-01-01,Clackamas,0.0,,,,,152,Parishes_116,,0017x0000107vUEAAY
145,"St. John the Apostle, Reedsport",St. John the Apostle,012Ps000002fU2bIAE,Parish,0017x0000107knQAAQ,"St. John the Apostle Parish
PO Box 2640",Florence,OR,97439,,541-271-5621,,st.johnreedsport@outlook.com,https://discovermass.com/church/st-john-the-apostle-reedsport-or/,<p><strong>Weekend Mass</strong></p><p>Sunday 8:45 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Thursday 8:15 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sunday 8:15–8:30 am<br>Thursday 8:45–9:00 am</p><p><br></p><p><strong>Adoration</strong></p><p>Thursday 9:00–10:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,12 St Johns Way,,1924-01-01,Douglas,200.0,,,,,152,Parishes_117,,0017x0000107vUEAAY
146,"St. Mary’s-by-the-Sea, Rockaway",St. Mary’s-by-the-Sea,012Ps000002fU2bIAE,Parish,0017x0000107knNAAQ,"St. Mary’s-by-the-Sea Parish
PO Box 390",Rockaway,OR,97136,,503-355-2661,503-355-9611,stmarys1927@gmail.com,https://www.stmarybythesea.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:30 am, 10:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon, Wed–Fri 9:30 am<br>First Saturday 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Thu after Mass<br>Saturday 4:00 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Every Thu after Mass to Noon</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,275 S Pacific St,,1927-01-01,Tillamook,210.0,,,,,152,Parishes_118,,0017x0000107vUEAAY
147,"Our Lady of the River Mission, Rogue River",Our Lady of the River,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"Our Lady of the River Mission
PO Box 1596",Rogue River,OR,97537,,541-582-1373,,,https://www.stannegp.com/our-lady-of-the-river,<p><strong>Weekend Mass</strong></p><p>Sunday 8:30 am</p><p><br></p><p><strong></strong></p><p><br></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,"3625 N River Rd, Gold Hill",0017x00001080Y9AAI,,Jackson,0.0,,,,,152,Parishes_119,,0017x0000107vUEAAY
148,"St. Joseph, Roseburg",St. Joseph,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"St. Joseph Parish
800 W Stanton St",Roseburg,OR,97471,,541-673-5157,541-672-5022,hjohnson@archdpdx.org,https://www.sjfx-church.org/,"<p><strong>Weekend Mass</strong></p><p>Sat 5:00 pm<br>Sunday 7:30 am, 8:30 am, 1:00 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon-Fri 12:10 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:00–4:30 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Friday 1:00–6:00 pm<br>First Friday 9:00 am–6:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1867-01-01,Douglas,600.0,,,,,152,Parishes_120,,0017x0000107vUEAAY
